ing_id,ing_name,ing_weight,ing_meas,ing_price
ING001,Pizza dough ball (10pack),2000, grams ,19.3
ING002,Tomato sauce,4500, grams ,4.22
ING003,Mozzarella cheese,2500, grams ,3.89
ING004,Dried oregano,500, grams ,14.45
ING005,Spicy salami,3500, grams ,5.99
ING006,Chilli pepper,1000, grams ,37.64
ING007,Eggplant,1000, grams ,6.49
ING008,Parmesan cheese,2500, grams ,1.9
ING009,Gorgonzola cheese,3500, grams ,18.75
ING010,Ricotta cheese,1500, grams ,27.64
ING011,Anchovies,1000, grams ,3.99
ING012,Capers,1000, grams ,10.99
ING013,Pepperoni,2500, grams ,4.16
ING014,Shrimp,1000, grams ,24.18
ING015,Tuna,2000, grams ,8.98
ING016,Calamari,2500, grams ,7.66
ING017,Ham,5000, grams ,28.77
ING018,Pineapple,5000, grams ,32.45
ING019,Garlic and Parsley butter,3000,grams,6.23
ING020,Chicken Wings,6000,grams,52.1
ING021,Rotisserie chicken pieces,5000,grams,69.83
ING022,Croutons,1250,grams,34.45
ING023,Romain,7500,grams,5.25
ING024,Caesar,3800,grams,13.72
ING025,Vanilla ice cream,4500,grams,17.98
ING026,Chocolate ice cream,4500,grams,15.45
ING027,Strawberry ice cream,4500,grams,15.45
ING028,Pistachiao ice cream,4500,grams,15.45
ING029,Chocolate brownie,2500,grams,4.45
ING030,Banoffee pie,1200,grams,1.15
ING031,Fruit salad,5000,grams,7.12
