item_id,sku,item_name,item_cat,item_size,item_price
it_001,PIZZ-MARG-R,Pizza-Margherita-Reg,Pizza,Regular,12
it_002,PIZZ-MARG-L,Pizza-Margherita-Large,Pizza,Large,14
it_003,PIZZ-DIAV-R,Pizza-Diavola-hot-Reg,Pizza,Regular,16
it_004,PIZZ-DIAV-L,Pizza-Diavola-hot-Large,Pizza,Large,19
it_005,PIZZ-PARM-R,Pizza-Parmiginana-Reg,Pizza,Regular,15
it_006,PIZZ-PARM-L,Pizza-Parmiginana-Large,Pizza,Large,18
it_007,PIZZ-QUAT-R,Pizza-Quattro-Formaggi-Reg,Pizza,Regular,16
it_008,PIZZ-QUAT-L,Pizza-Quattro-Formaggi-Large,Pizza,Large,19
it_009,PIZZ-NAPO-R,Pizza-Napolitana-Reg,Pizza,Regular,16
it_010,PIZZ-NAPO-L,Pizza-Napolitana-Large,Pizza,Large,18
it_011,PIZZ-PEPP-R,Pizza-Pepperoni-Reg,Pizza,Regular,15
it_012,PIZZ-PEPP-L,Pizza-Pepperoni-Large,Pizza,Large,17
it_013,PIZZ-SEAF-R,Pizza-Seafood-Reg,Pizza,Regular,17
it_014,PIZZ-SEAF-L,Pizza-Seafood-Large,Pizza,Large,20
it_015,PIZZ-HAWA-R,Pizza-Hawalian-Reg,Pizza,Regular,15
it_016,PIZZ-HAWA-L,Pizza-Hawalian-Large,Pizza,Large,17
it_017,SIDE-GARL-Bread,Side-Garlic-Bread,Side,Regular,6
it_018,SIDE-CHIC-Wings,Side-Chicken-Wings,Side,Regular,7
it_019,SIDE-BREA,Side-Breadsticks,Side,Regular,5
it_020,SIDE-CAES-Salad,Side-Caesar-Salad,Side,Regular,7
it_021,DESS-ICE-CHOC,Dessert-Chocolate-Ice-cream,Dessert,Regular,6
it_022,DESS-ICE-VANI,Dessert-Vanilla-Ice-cream,Dessert,Regular,6
it_023,DESS-ICE-STRA,Dessert-Strawberry-Ice-cream,Dessert,Regular,6
it_024,DESS-ICE-PIST,Dessert-Pistachio-Ice-cream,Dessert,Regular,6
it_025,DESS-CHOC-BROW,Dessert-Chocolate-Brownie,Dessert,Regular,5
it_026,DESS-BANO-PIE,Dessert-Banoffee-Pie,Dessert,Regular,7
it_027,DESS-FRUI-SALA,Dessert-Fruit-Salad,Dessert,Regular,5
it_028,BEVA-CC-REG33,Beverage-Coca-Cola,Beverage,33cl,3
it_029,BEVA-CC-BEG1500,Beverage-Coca-Cola,Beverage,1.5cl,6
it_030,BEVA-CC-DIE33,Beverage-Diet-Coke,Beverage,33cl,3
it_031,BEVA-CC-DIE1500,Beverage-Diet-Coke,Beverage,1.5l,6
it_032,BEVA-7U-REG33,Beverage-7-Up,Beverage,33cl,3
it_033,BEVA-7U-REG1500,Beverage-7-Up,Beverage,1.5l,6
