row_id,recipe_id,ing_id,quantity
1,PIZZ-MARG-R,ING001,250
2,PIZZ-MARG-R,ING002,80
3,PIZZ-MARG-R,ING003,170
4,PIZZ-MARG-R,ING004,5
5,PIZZ-MARG-L,ING001,300
6,PIZZ-MARG-L,ING002,100
7,PIZZ-MARG-L,ING003,200
8,PIZZ-MARG-L,ING005,8
9,PIZZ-DIAV-R,ING006,250
10,PIZZ-DIAV-R,ING001,80
11,PIZZ-DIAV-R,ING002,170
12,PIZZ-DIAV-R,ING003,50
13,PIZZ-DIAV-L,ING005,10
14,PIZZ-DIAV-L,ING006,300
15,PIZZ-DIAV-L,ING001,100
16,PIZZ-DIAV-L,ING002,200
17,PIZZ-DIAV-L,ING019,70
18,PIZZ-PARM-R,ING007,15
19,PIZZ-PARM-R,ING008,250
20,PIZZ-PARM-R,ING001,80
21,PIZZ-PARM-R,ING002,170
22,PIZZ-PARM-R,ING019,120
23,PIZZ-PARM-L,ING007,170
24,PIZZ-PARM-L,ING008,300
25,PIZZ-PARM-L,ING020,100
26,PIZZ-PARM-L,ING021,200
27,PIZZ-PARM-L,ING003,150
28,PIZZ-QUAT-R,ING008,200
29,PIZZ-QUAT-R,ING009,250
30,PIZZ-QUAT-R,ING020,80
31,PIZZ-QUAT-R,ING021,170
32,PIZZ-QUAT-R,ING003,150
33,PIZZ-QUAT-L,ING007,150
34,PIZZ-QUAT-L,ING008,150
35,PIZZ-QUAT-L,ING020,300
36,SIDE-CHIC-Wings,ING010,300
37,SIDE-CHIC-Wings,ING010,150
38,SIDE-CHIC-Wings,ING011,90
39,SIDE-CHIC-Wings,ING012,170
40,SIDE-CHIC-Wings,ING012,165
41,SIDE-CHIC-Wings,ING013,250
42,SIDE-CHIC-Wings,ING014,430
43,SIDE-CHIC-Wings,ING014,15
44,SIDE-BREA,ING014,30
45,SIDE-BREA,ING015,75
46,SIDE-BREA,ING015,155
47,SIDE-CAES-Salad,ING015,137
48,SIDE-CAES-Salad,ING016,15
49,SIDE-CAES-Salad,ING016,65
50,DESS-ICE-CHOC,ING017,85
51,DESS-ICE-CHOC,ING017,45
52,DESS-ICE-CHOC,ING018,45
53,DESS-ICE-VANI,ING022,75
54,DESS-ICE-VANI,ING022,155
55,DESS-ICE-STRA,ING023,137
56,DESS-ICE-STRA,ING023,15
57,DESS-ICE-PIST,ING024,675
58,DESS-ICE-PIST,ING024,85
59,DESS-CHOC-BROW,ING025,45
60,DESS-CHOC-BROW,ING025,45
61,DESS-BANO-PIE,ING026,200
62,DESS-BANO-PIE,ING026,150
63,DESS-FRUI-SALA,ING027,200
64,DESS-FRUI-SALA,ING028,250
65,BEVA-CC-REG33,ING027,80
66,BEVA-CC-REG33,ING028,170
67,BEVA-CC-BEG1500,ING029,150
68,BEVA-CC-BEG1500,ING029,150
69,BEVA-CC-DIE33,ING030,150
70,BEVA-CC-DIE33,ING030,300
71,BEVA-CC-DIE1500,ING027,80
72,BEVA-CC-DIE1500,ING028,170
73,BEVA-7U-REG33,ING029,150
74,BEVA-7U-REG33,ING029,150
75,BEVA-7U-REG1500,ING031,150
76,BEVA-7U-REG1500,ING031,300
77,PIZZ-NAPO-R,ING010,300
78,PIZZ-NAPO-R,ING010,300
79,PIZZ-NAPO-R,ING010,300
